topico,palabra_1,palabra_2,palabra_3,palabra_4,palabra_5,palabra_6,palabra_7,palabra_8,region
1,why,worth,where,fit,socks,let,employees,sale,US
2,those,well,two,tag,items,price,now,clothes,US
3,did,won,always,comfortable,jacket,backpack,crazy,asked,US
4,gym,wear,please,after,right,didn,then,feet,US
5,time,she,size,how,bag,card,way,preppy,US
6,customer,service,quality,had,even,there,never,better,US
1,dat,als,retour,niet,bestelling,een,très,first,Europa
2,refund,back,order,which,delivered,still,had,received,Europa
3,she,use,man,kundenservice,her,website,only,find,Europa
4,pair,pants,store,off,new,took,way,lol,Europa
5,customer,service,online,company,store,time,products,return,Europa
6,same,quality,size,wear,pair,washing,buy,how,Europa
